DocEntry;DocDate;CardCode;CardName;ItemCode;Dscription;Miktar;ShipToCode;Address2
1445;2021-10-31 00:00:00.000;M010206;TEK PLASTİK SAN.TİC. A.Ş.;TA000012095;MOD 1 Z_250 BEYAZ (URFA);125;AZIZOGLU AMBALAJ TIC.LTD.STI. .1;GIMAT 6.BLOK NO:166 MACUNKÖY YENIMAHALLE ANKARA 0   TÜRKIYE
1446;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);750;BIREL AMBALAJ;BİREL AMBALAJ MLZ. SANAYİ MAH. 60419 NOLU SOK.  27000 GAZİANTEP TÜRKIYE
1447;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012182;MOD 24 LIGHT BEYAZ (URFA);1.000;BIREL AMBALAJ;BİREL AMBALAJ MLZ. SANAYİ MAH. 60419 NOLU SOK.  27000 GAZİANTEP TÜRKIYE
1448;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000010338;MOD 1_U_L_BSZ BEYAZ (URFA);1.000;BIREL AMBALAJ;BİREL AMBALAJ MLZ. SANAYİ MAH. 60419 NOLU SOK.  27000 GAZİANTEP TÜRKIYE
1449;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000011259;MOD 2_U_L_BSZ BEYAZ (URFA);2.000;BIREL AMBALAJ;BİREL AMBALAJ MLZ. SANAYİ MAH. 60419 NOLU SOK.  27000 GAZİANTEP TÜRKIYE
1450;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012192;MOD 27/BZ BEYAZ (URFA);3.600;BIREL AMBALAJ;BİREL AMBALAJ MLZ. SANAYİ MAH. 60419 NOLU SOK.  27000 GAZİANTEP TÜRKIYE
1451;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012113;MOD 16/A Z_150 BEYAZ (URFA);1.400;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1452;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012131;MOD 2 Z_250 BEYAZ (URFA);1.900;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1453;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012095;MOD 1 Z_250 BEYAZ (URFA);1.500;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1454;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012208;MOD 33/CY_900 BEYAZ (URFA);50;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1455;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012155;MOD 23/AYZ_100 BEYAZ (URFA);300;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1456;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);300;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1457;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012194;MOD 27/CZ BEYAZ (URFA);600;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1458;2021-10-31 00:00:00.000;M010179;SOYLU AMB.PAZ.LTD.STI.-MALATYA;TA000012192;MOD 27/BZ BEYAZ (URFA);1.200;ARDA GIDA;ARDA GIDA INS. URFA YOLU ÜZERI GAP PINAR SU FABRIKASI YANI  21000 DİYARBAKIR TÜRKIYE
1459;2021-10-31 00:00:00.000;M010145;KÖKSALLAR AMBALAJ PAZ.SAN.TIC.LTD.STI.;TA000012192;MOD 27/BZ BEYAZ (URFA);200;DEKOR KAGITCILIK LTD;BÜYÜKDALYAN MAH. 2.KÜMEEVLER NO:69/A ANTAKYA HATAY   TÜRKIYE
1460;2021-10-31 00:00:00.000;M010145;KÖKSALLAR AMBALAJ PAZ.SAN.TIC.LTD.STI.;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);600;DEKOR KAGITCILIK LTD;BÜYÜKDALYAN MAH. 2.KÜMEEVLER NO:69/A ANTAKYA HATAY   TÜRKIYE
1461;2021-10-31 00:00:00.000;M010145;KÖKSALLAR AMBALAJ PAZ.SAN.TIC.LTD.STI.;TA000012155;MOD 23/AYZ_100 BEYAZ (URFA);350;DEKOR KAGITCILIK LTD;BÜYÜKDALYAN MAH. 2.KÜMEEVLER NO:69/A ANTAKYA HATAY   TÜRKIYE
1462;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000012214;MOD 36/DZ_100 BEYAZ (URFA);100;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1463;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000011498;MOD 33/BY_900 BEYAZ (URFA);40;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1464;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000012192;MOD 27/BZ BEYAZ (URFA);300;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1465;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000012174;MOD 23/CYZ_100 BEYAZ (URFA);300;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1466;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000012131;MOD 2 Z_250 BEYAZ (URFA);250;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1467;2021-10-31 00:00:00.000;M010141;KAYA AMBALAJ SAN TİC LTD.ŞTİ.;TA000012095;MOD 1 Z_250 BEYAZ (URFA);350;EMRECAN AMBALAJ;EMRECAN AMBALAJ SAN.TIC.LTD.STI. DURAK MAH. KAVUNCULAR SOK. NO:1  43000 KÜTAHYA TÜRKIYE
1468;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012214;MOD 36/DZ_100 BEYAZ (URFA);100;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1469;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012214;MOD 36/DZ_100 BEYAZ (URFA);100;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1470;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012208;MOD 33/CY_900 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1471;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012208;MOD 33/CY_900 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1472;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000011498;MOD 33/BY_900 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1473;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000011498;MOD 33/BY_900 BEYAZ (URFA);50;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1474;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012192;MOD 27/BZ BEYAZ (URFA);450;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
1475;2021-10-31 00:00:00.000;M010117;HAMZAOĞLU AMBALAJ TİC.LTD.ŞTD.;TA000012192;MOD 27/BZ BEYAZ (URFA);450;INEBOLU AMB.;INEBOLU AMB. VE SÜS. MALZ. YILDIRIM BEYAZIT CAD. TARLA SOK. NO:2 YENI SAHRA  34000 İSTANBUL TÜRKIYE
